Model,Experiment,Description,Train Acc,Val Acc,Val Macro-F1,Val Weighted-F1,Gap
RandomForest,RF_exp2_features,"sqrt features, balanced_subsample weights",0.9926,0.8484,0.802,0.8455,0.1442
GradientBoosting,GBT_exp2_deeper,Deeper + feature sampling – depth=6,0.9004,0.832,0.7837,0.8257,0.0684
RandomForest,RF_exp1_depth,"Depth-limited - 200 trees, max_depth=15",0.9079,0.8271,0.7814,0.823,0.0808
XGBoost,XGB_exp2_reg,"L1+L2 regularization, depth=5",0.8363,0.8061,0.7526,0.7952,0.0303
GradientBoosting,GBT_baseline,"Baseline – 100 trees, lr=0.1, depth=4",0.8245,0.7992,0.741,0.7884,0.0252
XGBoost,XGB_baseline,"Baseline – 100 trees, lr=0.1, depth=4",0.8053,0.7874,0.724,0.7738,0.018
XGBoost,XGB_exp1_scale,"Slower learning – 200 trees, lr=0.05",0.805,0.7869,0.7238,0.7733,0.0181
GradientBoosting,GBT_exp1_shallow,"Shallow + slower – 200 trees, lr=0.05, depth=3",0.7869,0.7768,0.7067,0.7627,0.0102
RandomForest,RF_baseline,"RF baseline - 10 trees, depth=8",0.7792,0.752,0.687,0.7374,0.0272
LogisticRegression,LR_exp2_mean_impute,"Mean imputation, C=1.0",0.6601,0.6646,0.5839,0.6532,-0.0045
LogisticRegression,LR_baseline,"Baseline - median imputation, C=1.0",0.6596,0.6645,0.5836,0.6533,-0.0049
LogisticRegression,LR_exp1_reg,Stronger regularisation C=0.1,0.6587,0.6638,0.5822,0.6525,-0.0051
